route,date,daytype,rides,day,WD_WE_LW
4,09/11/2013,W,25215,Wednesday,WD
3,09/12/2013,W,24562,Thursday,WD
4,09/12/2013,W,25979,Thursday,WD
3,09/13/2013,W,23085,Friday,WD
4,09/13/2013,W,25550,Friday,WD
3,09/14/2013,A,14693,Saturday,WE
4,09/14/2013,A,16208,Saturday,WE
3,09/15/2013,U,8236,Sunday,WE
4,09/15/2013,U,10290,Sunday,WE
3,09/16/2013,W,23003,Monday,WD
4,09/16/2013,W,26838,Monday,WD
3,09/17/2013,W,23001,Tuesday,WD
4,09/17/2013,W,25165,Tuesday,WD
3,09/18/2013,W,23024,Wednesday,WD
4,09/18/2013,W,26457,Wednesday,WD
3,09/19/2013,W,22533,Thursday,WD
4,09/19/2013,W,24626,Thursday,WD
3,09/20/2013,W,23722,Friday,WD
4,09/20/2013,W,28262,Friday,WD
3,09/21/2013,A,16316,Saturday,WE
4,09/21/2013,A,18105,Saturday,WE
3,09/22/2013,U,9795,Sunday,WE
4,09/22/2013,U,11205,Sunday,WE
3,09/23/2013,W,22473,Monday,WD
4,09/23/2013,W,25592,Monday,WD
3,09/24/2013,W,23770,Tuesday,WD
4,09/24/2013,W,25717,Tuesday,WD
3,09/25/2013,W,24004,Wednesday,WD
4,09/25/2013,W,25162,Wednesday,WD
3,09/26/2013,W,24016,Thursday,WD
4,09/26/2013,W,26289,Thursday,WD
3,09/27/2013,W,23746,Friday,WD
4,09/27/2013,W,24367,Friday,WD
3,09/28/2013,A,14696,Saturday,WE
4,09/28/2013,A,16059,Saturday,WE
3,09/29/2013,U,9438,Sunday,WE
4,09/29/2013,U,11250,Sunday,WE
3,09/30/2013,W,22838,Monday,WD
4,09/30/2013,W,24525,Monday,WD
3,10/01/2013,W,24342,Tuesday,WD
4,10/01/2013,W,26941,Tuesday,WD
3,10/02/2013,W,24625,Wednesday,WD
4,10/02/2013,W,26275,Wednesday,WD
3,10/03/2013,W,23574,Thursday,WD
4,10/03/2013,W,27187,Thursday,WD
3,10/04/2013,W,22996,Friday,WD
4,10/04/2013,W,25480,Friday,WD
3,10/05/2013,A,14530,Saturday,WE
4,10/05/2013,A,15460,Saturday,WE
3,10/06/2013,U,10815,Sunday,WE
4,10/06/2013,U,12408,Sunday,WE
3,10/07/2013,W,22880,Monday,WD
4,10/07/2013,W,24686,Monday,WD
3,10/08/2013,W,24008,Tuesday,WD
4,10/08/2013,W,26151,Tuesday,WD
3,10/09/2013,W,23711,Wednesday,WD
4,10/09/2013,W,25868,Wednesday,WD
3,10/10/2013,W,23172,Thursday,WD
4,10/10/2013,W,25149,Thursday,WD
3,10/11/2013,W,23833,Friday,WD
4,10/11/2013,W,25401,Friday,WD
3,10/12/2013,A,16893,Saturday,LW
4,10/12/2013,A,15031,Saturday,LW
3,10/13/2013,U,9091,Sunday,LW
4,10/13/2013,U,10223,Sunday,LW
3,10/14/2013,W,18013,Monday,LW
4,10/14/2013,W,20334,Monday,LW
3,10/15/2013,W,22573,Tuesday,WD
4,10/15/2013,W,25128,Tuesday,WD
3,10/16/2013,W,23055,Wednesday,WD
4,10/16/2013,W,24944,Wednesday,WD
3,10/17/2013,W,23510,Thursday,WD
4,10/17/2013,W,24508,Thursday,WD
3,10/18/2013,W,23019,Friday,WD
4,10/18/2013,W,25302,Friday,WD
3,10/19/2013,A,14818,Saturday,WE
4,10/19/2013,A,15493,Saturday,WE
3,10/20/2013,U,8802,Sunday,WE
4,10/20/2013,U,11201,Sunday,WE
3,10/21/2013,W,21941,Monday,WD
4,10/21/2013,W,23891,Monday,WD
3,10/22/2013,W,21556,Tuesday,WD
4,10/22/2013,W,22300,Tuesday,WD
3,10/23/2013,W,22394,Wednesday,WD
4,10/23/2013,W,24886,Wednesday,WD
3,10/24/2013,W,22208,Thursday,WD
4,10/24/2013,W,23920,Thursday,WD
3,10/25/2013,W,21781,Friday,WD
4,10/25/2013,W,24078,Friday,WD
3,10/26/2013,A,13605,Saturday,WE
4,10/26/2013,A,14710,Saturday,WE
3,10/27/2013,U,8996,Sunday,WE
4,10/27/2013,U,10947,Sunday,WE
3,10/28/2013,W,22528,Monday,WD
4,10/28/2013,W,23392,Monday,WD
3,10/29/2013,W,21280,Tuesday,WD
4,10/29/2013,W,24073,Tuesday,WD
3,10/30/2013,W,21517,Wednesday,WD
4,10/30/2013,W,23764,Wednesday,WD
3,10/31/2013,W,20860,Thursday,WD
4,10/31/2013,W,22845,Thursday,WD
3,11/01/2013,W,19548,Friday,WD
4,11/01/2013,W,23997,Friday,WD
3,11/02/2013,A,14434,Saturday,WE
4,11/02/2013,A,16059,Saturday,WE
3,11/03/2013,U,9237,Sunday,WE
4,11/03/2013,U,11475,Sunday,WE
3,11/04/2013,W,20457,Monday,WD
4,11/04/2013,W,24184,Monday,WD
3,11/05/2013,W,20681,Tuesday,WD
4,11/05/2013,W,24213,Tuesday,WD
3,11/06/2013,W,20389,Wednesday,WD
4,11/06/2013,W,23392,Wednesday,WD
3,11/07/2013,W,20981,Thursday,WD
4,11/07/2013,W,23751,Thursday,WD
3,11/08/2013,W,21115,Friday,WD
4,11/08/2013,W,23831,Friday,WD
3,11/09/2013,A,13930,Saturday,LW
4,11/09/2013,A,15075,Saturday,LW
3,11/10/2013,U,9345,Sunday,LW
4,11/10/2013,U,9892,Sunday,LW
3,11/11/2013,W,15687,Monday,LW
4,11/11/2013,W,16637,Monday,LW
